Arquivo;Caminho;Tempo de Execução
test4.in;.//TIncr10000;        0.01 real         0.00 user         0.00 sys
test5.in;.//TIncr10000;        0.01 real         0.00 user         0.00 sys
test6.in;.//TIncr10000;        0.01 real         0.00 user         0.00 sys
test7.in;.//TIncr10000;        0.01 real         0.00 user         0.00 sys
test8.in;.//TIncr10000;        0.01 real         0.00 user         0.00 sys
test9.in;.//TIncr10000;        0.01 real         0.00 user         0.00 sys
test1.in;.//TIncr100000;        0.02 real         0.01 user         0.00 sys
test10.in;.//TIncr100000;        0.02 real         0.01 user         0.00 sys
test2.in;.//TIncr100000;        0.02 real         0.01 user         0.00 sys
test3.in;.//TIncr100000;        0.02 real         0.01 user         0.00 sys
test4.in;.//TIncr100000;        0.02 real         0.01 user         0.00 sys
test5.in;.//TIncr100000;        0.02 real         0.01 user         0.00 sys
test6.in;.//TIncr100000;        0.02 real         0.01 user         0.00 sys
test7.in;.//TIncr100000;        0.02 real         0.01 user         0.00 sys
test8.in;.//TIncr100000;        0.02 real         0.01 user         0.00 sys
test9.in;.//TIncr100000;        0.02 real         0.01 user         0.00 sys
test1.in;.//TPeak10;        0.02 real         0.00 user         0.00 sys
test10.in;.//TPeak10;        0.01 real         0.00 user         0.00 sys
test2.in;.//TPeak10;        0.06 real         0.00 user         0.01 sys
test3.in;.//TPeak10;        0.01 real         0.00 user         0.00 sys
test4.in;.//TPeak10;        0.01 real         0.00 user         0.00 sys
test5.in;.//TPeak10;        0.01 real         0.00 user         0.00 sys
test6.in;.//TPeak10;        0.01 real         0.00 user         0.00 sys
test7.in;.//TPeak10;        0.01 real         0.00 user         0.00 sys
test8.in;.//TPeak10;        0.01 real         0.00 user         0.00 sys
test9.in;.//TPeak10;        0.01 real         0.00 user         0.00 sys
test1.in;.//TPeak100;        0.01 real         0.00 user         0.00 sys
test10.in;.//TPeak100;        0.02 real         0.00 user         0.00 sys
test2.in;.//TPeak100;        0.01 real         0.00 user         0.00 sys
test3.in;.//TPeak100;        0.01 real         0.00 user         0.00 sys
test4.in;.//TPeak100;        0.01 real         0.00 user         0.00 sys
test5.in;.//TPeak100;        0.01 real         0.00 user         0.00 sys
test6.in;.//TPeak100;        0.01 real         0.00 user         0.00 sys
test7.in;.//TPeak100;        0.01 real         0.00 user         0.00 sys
test8.in;.//TPeak100;        0.01 real         0.00 user         0.00 sys
test9.in;.//TPeak100;        0.01 real         0.00 user         0.00 sys
test1.in;.//TPeak1000;        0.01 real         0.00 user         0.00 sys
test10.in;.//TPeak1000;        0.01 real         0.00 user         0.00 sys
test2.in;.//TPeak1000;        0.01 real         0.00 user         0.00 sys
test3.in;.//TPeak1000;        0.01 real         0.00 user         0.00 sys
test4.in;.//TPeak1000;        0.01 real         0.00 user         0.00 sys
test5.in;.//TPeak1000;        0.01 real         0.00 user         0.00 sys
test6.in;.//TPeak1000;        0.01 real         0.00 user         0.00 sys
test7.in;.//TPeak1000;        0.01 real         0.00 user         0.00 sys
test8.in;.//TPeak1000;        0.01 real         0.00 user         0.00 sys
test9.in;.//TPeak1000;        0.01 real         0.00 user         0.00 sys
test1.in;.//TPeak10000;        0.01 real         0.00 user         0.00 sys
test10.in;.//TPeak10000;        0.01 real         0.00 user         0.00 sys
